County,State,Population,HousingUnits,TotalArea,WaterArea,LandArea,DensityPop,DensityHousing
Onondaga County,New York,458336.00,196633.00,805.69,25.40,780.29,587.40,252.00
Ontario County,New York,100224.00,42647.00,662.43,18.05,644.38,155.50,66.20
Orange County,New York,341367.00,122754.00,838.55,22.21,816.34,418.20,150.40
Orleans County,New York,44171.00,17347.00,817.47,426.07,391.40,112.90,44.30
Oswego County,New York,122377.00,52831.00,1312.18,358.88,953.30,128.40,55.40
Otsego County,New York,61676.00,28481.00,1015.10,12.31,1002.80,61.50,28.40
Putnam County,New York,95745.00,35030.00,246.25,14.97,231.28,414.00,151.50
Queens County,New York,2229379.00,817250.00,178.28,69.04,109.24,20409.00,7481.60
Rensselaer County,New York,152538.00,66120.00,665.39,11.43,653.96,233.30,101.10
Richmond County,New York,443728.00,163993.00,102.50,44.02,58.48,7587.90,2804.30
Rockland County,New York,286753.00,94973.00,199.34,25.12,174.22,1645.90,545.10
St. Lawrence County,New York,111931.00,49721.00,2821.48,135.88,2685.60,41.70,18.50
Saratoga County,New York,200635.00,86701.00,843.71,31.87,811.84,247.10,106.80
Schenectady County,New York,146555.00,65032.00,209.62,3.52,206.10,711.10,315.50
Schoharie County,New York,31582.00,15915.00,626.36,4.34,622.02,50.80,25.60
Schuyler County,New York,19224.00,9181.00,342.22,13.51,328.71,58.50,27.90
Seneca County,New York,33342.00,14794.00,390.51,65.60,324.91,102.60,45.50
Steuben County,New York,98726.00,46132.00,1404.10,11.45,1392.64,70.90,33.10
Suffolk County,New York,1419369.00,522323.00,2373.07,1460.87,912.20,1556.00,572.60
Sullivan County,New York,73966.00,44730.00,996.85,27.14,969.71,76.30,46.10
Tioga County,New York,51784.00,21410.00,522.91,4.21,518.69,99.80,41.30
Tompkins County,New York,96501.00,38625.00,491.63,15.57,476.05,202.70,81.10
Ulster County,New York,177749.00,77656.00,1160.76,34.28,1126.48,157.80,68.90
Warren County,New York,63303.00,34852.00,931.66,62.37,869.29,72.80,40.10
Washington County,New York,61042.00,26794.00,845.84,10.40,835.44,73.10,32.10
Wayne County,New York,93765.00,38767.00,1384.14,779.93,604.21,155.20,64.20
Westchester County,New York,923459.00,349445.00,500.08,67.26,432.82,2133.60,807.40
Wyoming County,New York,43424.00,16940.00,596.44,3.53,592.91,73.20,28.60
Yates County,New York,24621.00,12064.00,375.76,37.52,338.24,72.80,35.70
Alamance County,North Carolina,130800.00,55463.00,434.77,4.78,429.99,304.20,129.00
Alexander County,North Carolina,33603.00,14098.00,263.14,2.95,260.18,129.20,54.20
Alleghany County,North Carolina,10677.00,6412.00,235.52,0.87,234.65,45.50,27.30
Anson County,North Carolina,25275.00,10221.00,537.13,5.56,531.57,47.50,19.20
Ashe County,North Carolina,24384.00,13268.00,426.78,0.65,426.13,57.20,31.10
Avery County,North Carolina,17167.00,11911.00,247.21,0.20,247.00,69.50,48.20
Beaufort County,North Carolina,44958.00,22139.00,958.69,130.72,827.97,54.30,26.70
Bertie County,North Carolina,19773.00,9050.00,741.22,42.03,699.19,28.30,12.90
Bladen County,North Carolina,32278.00,15316.00,887.13,12.19,874.94,36.90,17.50
Brunswick County,North Carolina,73143.00,51431.00,1050.01,195.21,854.79,85.60,60.20
Buncombe County,North Carolina,206330.00,93973.00,659.80,3.81,655.99,314.50,143.30
Burke County,North Carolina,89148.00,37427.00,514.89,8.17,506.72,175.90,73.90
Cabarrus County,North Carolina,131063.00,52848.00,364.98,0.59,364.39,359.70,145.00
Caldwell County,North Carolina,77415.00,33430.00,474.29,2.70,471.60,164.20,70.90
Camden County,North Carolina,6885.00,2973.00,305.70,65.02,240.68,28.60,12.40
Carteret County,North Carolina,59383.00,40947.00,1340.53,820.68,519.84,114.20,78.80
Caswell County,North Carolina,23501.00,9601.00,428.43,3.76,424.67,55.30,22.60
Catawba County,North Carolina,141685.00,59919.00,413.51,13.54,399.97,354.20,149.80
Chatham County,North Carolina,49329.00,21358.00,709.05,26.19,682.85,72.20,31.30
Cherokee County,North Carolina,24298.00,13499.00,466.68,11.49,455.19,53.40,29.70
Chowan County,North Carolina,14526.00,6443.00,233.31,60.67,172.64,84.10,37.30
Clay County,North Carolina,8775.00,5425.00,220.60,5.89,214.70,40.90,25.30
Cleveland County,North Carolina,96287.00,40317.00,468.60,3.97,464.63,207.20,86.80
Columbus County,North Carolina,54749.00,24060.00,953.60,16.80,936.80,58.40,25.70
Craven County,North Carolina,91436.00,38150.00,774.14,65.72,708.43,129.10,53.90
Cumberland County,North Carolina,302963.00,118425.00,658.46,5.74,652.72,464.20,181.40
Currituck County,North Carolina,18190.00,10687.00,525.65,263.95,261.70,69.50,40.80
Dare County,North Carolina,29967.00,26671.00,1561.51,1177.93,383.58,78.10,69.50
Davidson County,North Carolina,147246.00,62432.00,566.77,14.62,552.15,266.70,113.10
Davie County,North Carolina,34835.00,14953.00,266.89,1.70,265.18,131.40,56.40
Duplin County,North Carolina,49063.00,20520.00,819.11,1.38,817.73,60.00,25.10
Durham County,North Carolina,223314.00,95452.00,297.79,7.47,290.32,769.20,328.80
Edgecombe County,North Carolina,55606.00,24002.00,506.58,1.55,505.03,110.10,47.50
Forsyth County,North Carolina,306067.00,133093.00,412.92,3.32,409.60,747.20,324.90
Franklin County,North Carolina,47260.00,20364.00,494.59,2.57,492.02,96.10,41.40
Gaston County,North Carolina,190365.00,78842.00,363.54,7.33,356.21,534.40,221.30
Gates County,North Carolina,10516.00,4389.00,345.60,5.00,340.61,30.90,12.90
Graham County,North Carolina,7993.00,5084.00,301.60,9.53,292.07,27.40,17.40
Granville County,North Carolina,48498.00,17896.00,536.56,5.45,531.12,91.30,33.70
Greene County,North Carolina,18974.00,7368.00,265.89,0.49,265.40,71.50,27.80
Guilford County,North Carolina,421048.00,180391.00,657.70,8.28,649.42,648.30,277.80
Halifax County,North Carolina,57370.00,25309.00,731.35,5.99,725.36,79.10,34.90
Harnett County,North Carolina,91025.00,38605.00,601.30,6.29,595.01,153.00,64.90
Haywood County,North Carolina,54033.00,28640.00,554.62,0.96,553.66,97.60,51.70
Henderson County,North Carolina,89173.00,42996.00,375.04,1.04,374.00,238.40,115.00
Hertford County,North Carolina,22601.00,9724.00,360.42,7.16,353.26,64.00,27.50
Hoke County,North Carolina,33646.00,12518.00,392.34,1.12,391.21,86.00,32.00
Hyde County,North Carolina,5826.00,3302.00,1424.00,811.20,612.80,9.50,5.40
Iredell County,North Carolina,122660.00,51918.00,597.01,21.44,575.57,213.10,90.20
Jackson County,North Carolina,33121.00,19291.00,494.50,3.79,490.71,67.50,39.30
Johnston County,North Carolina,121965.00,50196.00,795.79,3.94,791.85,154.00,63.40
Jones County,North Carolina,10381.00,4679.00,473.32,1.44,471.88,22.00,9.90
Lee County,North Carolina,49040.00,19909.00,259.33,2.07,257.26,190.60,77.40
Lenoir County,North Carolina,59648.00,27184.00,402.09,2.24,399.85,149.20,68.00
Lincoln County,North Carolina,63780.00,25717.00,307.03,8.24,298.79,213.50,86.10
McDowell County,North Carolina,42151.00,18377.00,446.41,4.73,441.68,95.40,41.60
Macon County,North Carolina,29811.00,20746.00,519.47,3.00,516.47,57.70,40.20
Madison County,North Carolina,19635.00,9722.00,451.59,2.17,449.42,43.70,21.60
Martin County,North Carolina,25593.00,10930.00,461.49,0.32,461.17,55.50,23.70
Mecklenburg County,North Carolina,695454.00,292780.00,546.22,19.94,526.28,1321.50,556.30
Mitchell County,North Carolina,15687.00,7919.00,222.14,0.71,221.43,70.80,35.80
Montgomery County,North Carolina,26822.00,14145.00,501.64,10.04,491.60,54.60,28.80
Moore County,North Carolina,74769.00,35151.00,705.67,7.94,697.74,107.20,50.40
Nash County,North Carolina,87420.00,37051.00,542.69,2.42,540.27,161.80,68.60
New Hanover County,North Carolina,160307.00,79616.00,327.92,128.98,198.93,805.80,400.20
Northampton County,North Carolina,22086.00,10455.00,550.61,14.13,536.48,41.20,19.50
Onslow County,North Carolina,150355.00,55726.00,908.56,141.74,766.82,196.10,72.70
Orange County,North Carolina,118227.00,49289.00,401.21,1.37,399.84,295.70,123.30
Pamlico County,North Carolina,12934.00,6781.00,566.23,229.29,336.94,38.40,20.10
Pasquotank County,North Carolina,34897.00,14289.00,289.44,62.56,226.88,153.80,63.00
Pender County,North Carolina,41082.00,20798.00,932.64,61.97,870.67,47.20,23.90
Perquimans County,North Carolina,11368.00,6043.00,328.93,81.76,247.17,46.00,24.40
Person County,North Carolina,35623.00,15504.00,404.09,11.78,392.31,90.80,39.50
Pitt County,North Carolina,133798.00,58408.00,654.77,3.19,651.58,205.30,89.60
Polk County,North Carolina,18324.00,9192.00,238.60,0.75,237.85,77.00,38.60
Randolph County,North Carolina,130454.00,54422.00,789.93,2.57,787.36,165.70,69.10
Richmond County,North Carolina,46564.00,19886.00,479.58,5.60,473.98,98.20,42.00
Robeson County,North Carolina,123339.00,47779.00,951.03,2.19,948.84,130.00,50.40
Rockingham County,North Carolina,91928.00,40208.00,572.33,5.90,566.44,162.30,71.00
Rowan County,North Carolina,130340.00,53980.00,523.86,12.55,511.31,254.90,105.60
Rutherford County,North Carolina,62899.00,29535.00,565.90,1.78,564.12,111.50,52.40
Sampson County,North Carolina,60161.00,25142.00,947.45,2.01,945.45,63.60,26.60
Scotland County,North Carolina,35998.00,14693.00,320.64,1.50,319.14,112.80,46.00
Stanly County,North Carolina,58100.00,24582.00,404.26,9.20,395.06,147.10,62.20
Stokes County,North Carolina,44711.00,19262.00,455.89,4.05,451.84,99.00,42.60
Surry County,North Carolina,71219.00,31033.00,537.79,1.27,536.52,132.70,57.80
Swain County,North Carolina,12968.00,7105.00,540.64,12.54,528.10,24.60,13.50
Transylvania County,North Carolina,29334.00,15553.00,380.56,2.17,378.39,77.50,41.10
Tyrrell County,North Carolina,4149.00,2032.00,600.30,210.39,389.91,10.60,5.20
Union County,North Carolina,123677.00,45695.00,639.59,2.22,637.37,194.00,71.70
Vance County,North Carolina,42954.00,18196.00,269.82,16.31,253.52,169.40,71.80
Wake County,North Carolina,627846.00,258953.00,857.26,25.33,831.92,754.70,311.30
Warren County,North Carolina,19972.00,10548.00,443.80,15.09,428.70,46.60,24.60
Washington County,North Carolina,13723.00,6174.00,424.39,75.93,348.46,39.40,17.70
Watauga County,North Carolina,42695.00,23155.00,312.73,0.22,312.51,136.60,74.10
Wayne County,North Carolina,113329.00,47313.00,556.69,4.12,552.57,205.10,85.60
Wilkes County,North Carolina,65632.00,29261.00,759.93,2.74,757.19,86.70,38.60
Wilson County,North Carolina,73814.00,30729.00,374.26,3.17,371.09,198.90,82.80
Yadkin County,North Carolina,36348.00,15821.00,337.49,1.94,335.55,108.30,47.10
Yancey County,North Carolina,17774.00,9729.00,313.11,0.65,312.45,56.90,31.10
Adams County,North Dakota,2593.00,1416.00,988.84,0.92,987.91,2.60,1.40
Barnes County,North Dakota,11775.00,5599.00,1513.23,21.58,1491.65,7.90,3.80
Benson County,North Dakota,6964.00,2932.00,1439.27,58.68,1380.60,5.00,2.10
Billings County,North Dakota,888.00,529.00,1153.40,1.99,1151.41,0.80,0.50
Bottineau County,North Dakota,7149.00,4409.00,1697.74,29.16,1668.59,4.30,2.60
Bowman County,North Dakota,3242.00,1596.00,1166.99,4.95,1162.05,2.80,1.40
Burke County,North Dakota,2242.00,1412.00,1129.26,25.73,1103.53,2.00,1.30
Burleigh County,North Dakota,69416.00,29003.00,1668.04,34.95,1633.09,42.50,17.80
Cass County,North Dakota,123138.00,53790.00,1767.91,2.68,1765.23,69.80,30.50
Cavalier County,North Dakota,4831.00,2725.00,1510.14,21.68,1488.46,3.20,1.80
Dickey County,North Dakota,5757.00,2656.00,1141.66,10.66,1131.00,5.10,2.30
Divide County,North Dakota,2283.00,1469.00,1294.18,34.65,1259.53,1.80,1.20
Dunn County,North Dakota,3600.00,1965.00,2082.25,72.65,2009.60,1.80,1.00
Eddy County,North Dakota,2757.00,1418.00,644.23,14.11,630.12,4.40,2.30
Emmons County,North Dakota,4331.00,2168.00,1554.72,44.83,1509.88,2.90,1.40
Foster County,North Dakota,3759.00,1793.00,646.72,11.52,635.20,5.90,2.80
Golden Valley County,North Dakota,1924.00,973.00,1002.36,0.37,1001.99,1.90,1.00
Grand Forks County,North Dakota,66109.00,27373.00,1439.83,2.02,1437.81,46.00,19.00
Grant County,North Dakota,2841.00,1722.00,1665.92,6.46,1659.46,1.70,1.00
Griggs County,North Dakota,2754.00,1521.00,716.17,7.67,708.50,3.90,2.10
Hettinger County,North Dakota,2715.00,1419.00,1133.70,1.45,1132.25,2.40,1.30
Kidder County,North Dakota,2753.00,1610.00,1433.21,82.42,1350.79,2.00,1.20
LaMoure County,North Dakota,4701.00,2271.00,1150.81,3.63,1147.18,4.10,2.00
Logan County,North Dakota,2308.00,1193.00,1011.07,18.43,992.64,2.30,1.20
McHenry County,North Dakota,5987.00,2983.00,1911.71,37.62,1874.09,3.20,1.60
McIntosh County,North Dakota,3390.00,1853.00,995.04,19.84,975.19,3.50,1.90
McKenzie County,North Dakota,5737.00,2719.00,2860.89,118.87,2742.02,2.10,1.00
McLean County,North Dakota,9311.00,5264.00,2328.17,218.21,2109.95,4.40,2.50
Mercer County,North Dakota,8644.00,4402.00,1112.42,66.93,1045.49,8.30,4.20
Morton County,North Dakota,25303.00,10587.00,1945.28,19.01,1926.27,13.10,5.50
Mountrail County,North Dakota,6631.00,3438.00,1941.08,117.15,1823.93,3.60,1.90
Nelson County,North Dakota,3715.00,2014.00,1008.74,27.12,981.62,3.80,2.10
Oliver County,North Dakota,2065.00,903.00,731.19,7.67,723.52,2.90,1.20
Pembina County,North Dakota,8585.00,4115.00,1121.74,2.99,1118.75,7.70,3.70
Pierce County,North Dakota,4675.00,2269.00,1082.16,64.34,1017.82,4.60,2.20
Ramsey County,North Dakota,12066.00,5729.00,1300.88,116.04,1184.85,10.20,4.80
Ransom County,North Dakota,5890.00,2604.00,864.13,1.38,862.75,6.80,3.00
Renville County,North Dakota,2610.00,1413.00,892.03,17.27,874.77,3.00,1.60
Richland County,North Dakota,17998.00,7575.00,1445.73,9.02,1436.71,12.50,5.30
Rolette County,North Dakota,13674.00,5027.00,939.33,36.88,902.45,15.20,5.60
Sargent County,North Dakota,4366.00,2016.00,867.09,8.34,858.75,5.10,2.30
Sheridan County,North Dakota,1710.00,924.00,1005.78,34.02,971.75,1.80,1.00
Sioux County,North Dakota,4044.00,1216.00,1128.30,34.18,1094.12,3.70,1.10
Slope County,North Dakota,767.00,451.00,1219.22,1.28,1217.94,0.60,0.40
Stark County,North Dakota,22636.00,9722.00,1340.46,2.30,1338.16,16.90,7.30
Steele County,North Dakota,2258.00,1231.00,715.49,3.13,712.36,3.20,1.70
Stutsman County,North Dakota,21908.00,9817.00,2298.26,76.86,2221.40,9.90,4.40
Towner County,North Dakota,2876.00,1558.00,1041.56,17.00,1024.55,2.80,1.50
Traill County,North Dakota,8477.00,3708.00,862.53,0.65,861.89,9.80,4.30
Walsh County,North Dakota,12389.00,5757.00,1294.11,12.36,1281.74,9.70,4.50
Ward County,North Dakota,58795.00,25097.00,2056.25,43.36,2012.88,29.20,12.50
Wells County,North Dakota,5102.00,2643.00,1290.62,19.34,1271.28,4.00,2.10
Williams County,North Dakota,19761.00,9680.00,2147.97,77.51,2070.46,9.50,4.70
Adams County,Ohio,27330.00,11822.00,585.79,1.88,583.91,46.80,20.20
Allen County,Ohio,108473.00,44245.00,406.88,2.46,404.43,268.20,109.40
Ashland County,Ohio,52523.00,20832.00,426.85,2.47,424.37,123.80,49.10
Ashtabula County,Ohio,102728.00,43792.00,1368.47,666.03,702.44,146.20,62.30
Athens County,Ohio,62223.00,24901.00,508.54,1.78,506.76,122.80,49.10
Auglaize County,Ohio,46611.00,18470.00,401.72,0.47,401.25,116.20,46.00
Belmont County,Ohio,70226.00,31236.00,541.39,4.04,537.35,130.70,58.10
Brown County,Ohio,42285.00,17193.00,495.22,3.46,491.76,86.00,35.00
Butler County,Ohio,332807.00,129793.00,470.20,2.93,467.27,712.20,277.80
Carroll County,Ohio,28836.00,13016.00,399.01,4.33,394.67,73.10,33.00
Champaign County,Ohio,38890.00,15890.00,429.71,1.15,428.56,90.70,37.10
Clark County,Ohio,144742.00,61056.00,403.56,3.70,399.86,362.00,152.70
Clermont County,Ohio,177977.00,69226.00,457.67,5.68,451.99,393.80,153.20
Clinton County,Ohio,40543.00,16577.00,412.29,1.41,410.88,98.70,40.30
Columbiana County,Ohio,112075.00,46083.00,535.18,2.73,532.46,210.50,86.50
Coshocton County,Ohio,36655.00,16107.00,567.58,3.51,564.07,65.00,28.60
Crawford County,Ohio,46966.00,20178.00,402.83,0.72,402.11,116.80,50.20
Cuyahoga County,Ohio,1393978.00,616903.00,1245.56,787.07,458.49,3040.40,1345.50
Darke County,Ohio,53309.00,21583.00,600.29,0.49,599.80,88.90,36.00
Defiance County,Ohio,39500.00,16040.00,414.19,3.03,411.16,96.10,39.00
Delaware County,Ohio,109989.00,42374.00,455.97,13.56,442.41,248.60,95.80
Erie County,Ohio,79551.00,35909.00,626.15,371.27,254.88,312.10,140.90
Fairfield County,Ohio,122759.00,47922.00,508.60,3.49,505.11,243.00,94.90
Fayette County,Ohio,28433.00,11904.00,407.08,0.50,406.58,69.90,29.30
Franklin County,Ohio,1068978.00,471016.00,543.32,3.45,539.87,1980.10,872.50
Fulton County,Ohio,42084.00,16232.00,407.32,0.54,406.78,103.50,39.90
Gallia County,Ohio,31069.00,13498.00,471.13,2.36,468.78,66.30,28.80
Geauga County,Ohio,90895.00,32805.00,408.29,4.63,403.66,225.20,81.30
Greene County,Ohio,147886.00,58224.00,416.21,1.34,414.88,356.50,140.30
Guernsey County,Ohio,40792.00,18771.00,528.29,6.39,521.90,78.20,36.00
Hamilton County,Ohio,845303.00,373393.00,412.78,5.42,407.36,2075.10,916.60
Hancock County,Ohio,71295.00,29785.00,533.60,2.24,531.35,134.20,56.10
Hardin County,Ohio,31945.00,12907.00,470.54,0.25,470.29,67.90,27.40
Harrison County,Ohio,15856.00,7680.00,410.79,7.26,403.53,39.30,19.00
Henry County,Ohio,29210.00,11622.00,419.98,3.47,416.50,70.10,27.90
Highland County,Ohio,40875.00,17583.00,557.84,4.56,553.28,73.90,31.80
Hocking County,Ohio,28241.00,12141.00,423.60,0.85,422.75,66.80,28.70
Holmes County,Ohio,38943.00,12280.00,424.02,1.03,422.99,92.10,29.00
Huron County,Ohio,59487.00,23594.00,494.52,1.83,492.69,120.70,47.90
Jackson County,Ohio,32641.00,13909.00,421.50,1.22,420.28,77.70,33.10
Jefferson County,Ohio,73894.00,33291.00,410.87,1.27,409.61,180.40,81.30
Knox County,Ohio,54500.00,21793.00,529.53,2.41,527.12,103.40,41.30
Lake County,Ohio,227511.00,93487.00,978.87,750.65,228.21,996.90,409.70
Lawrence County,Ohio,62319.00,27189.00,457.28,2.32,454.96,137.00,59.80
Licking County,Ohio,145491.00,58760.00,688.38,1.88,686.50,211.90,85.60
Logan County,Ohio,46005.00,21571.00,466.78,8.34,458.44,100.40,47.10
Lorain County,Ohio,284664.00,111368.00,923.02,430.52,492.50,578.00,226.10
Lucas County,Ohio,455054.00,196259.00,595.88,255.42,340.46,1336.60,576.40
Madison County,Ohio,40213.00,14399.00,466.18,0.74,465.44,86.40,30.90
Mahoning County,Ohio,257555.00,111762.00,423.38,8.14,415.25,620.20,269.10
Marion County,Ohio,66217.00,26298.00,404.15,0.30,403.84,164.00,65.10
Medina County,Ohio,151095.00,56793.00,423.11,1.57,421.55,358.40,134.70
Meigs County,Ohio,23072.00,10782.00,432.38,2.95,429.42,53.70,25.10
Mercer County,Ohio,40924.00,15875.00,473.29,10.03,463.27,88.30,34.30
Miami County,Ohio,98868.00,40554.00,409.22,2.18,407.04,242.90,99.60
Monroe County,Ohio,15180.00,7212.00,457.46,1.92,455.54,33.30,15.80
Montgomery County,Ohio,559062.00,248443.00,464.34,2.67,461.68,1210.90,538.10
Morgan County,Ohio,14897.00,7771.00,421.86,4.20,417.66,35.70,18.60
Morrow County,Ohio,31628.00,12132.00,407.36,1.13,406.22,77.90,29.90
Muskingum County,Ohio,84585.00,35163.00,672.59,7.97,664.63,127.30,52.90
Noble County,Ohio,14058.00,5480.00,404.59,5.59,399.00,35.20,13.70
Ottawa County,Ohio,40985.00,25532.00,585.12,330.17,254.95,160.80,100.10
Paulding County,Ohio,20293.00,8478.00,418.90,2.64,416.26,48.80,20.40
Perry County,Ohio,34078.00,13655.00,412.59,2.82,409.78,83.20,33.30
Pickaway County,Ohio,52727.00,18596.00,506.79,4.88,501.91,105.10,37.10
Pike County,Ohio,27695.00,11602.00,443.94,2.46,441.49,62.70,26.30
Portage County,Ohio,152061.00,60096.00,507.11,14.72,492.39,308.80,122.00
Preble County,Ohio,42337.00,17186.00,426.33,1.52,424.80,99.70,40.50
Putnam County,Ohio,34726.00,12753.00,484.23,0.36,483.87,71.80,26.40
Richland County,Ohio,128852.00,53062.00,500.33,3.45,496.88,259.30,106.80
Ross County,Ohio,73345.00,29461.00,692.96,4.55,688.41,106.50,42.80
Sandusky County,Ohio,61792.00,25253.00,417.77,8.59,409.18,151.00,61.70
Scioto County,Ohio,79195.00,34054.00,616.07,3.80,612.27,129.30,55.60
Seneca County,Ohio,58683.00,23692.00,552.37,1.78,550.59,106.60,43.00
Shelby County,Ohio,47910.00,18682.00,411.03,1.76,409.27,117.10,45.60
Stark County,Ohio,378098.00,157024.00,580.91,4.77,576.14,656.30,272.50
Summit County,Ohio,542899.00,230880.00,420.06,7.34,412.72,1315.40,559.40
Trumbull County,Ohio,225116.00,95117.00,634.72,18.24,616.48,365.20,154.30
Tuscarawas County,Ohio,90914.00,38113.00,571.48,3.91,567.58,160.20,67.20
Union County,Ohio,40909.00,15217.00,436.98,0.33,436.65,93.70,34.80
Van Wert County,Ohio,29659.00,12363.00,410.49,0.40,410.09,72.30,30.10
Vinton County,Ohio,12806.00,5653.00,414.96,0.88,414.08,30.90,13.70
Warren County,Ohio,158383.00,58692.00,407.14,7.51,399.63,396.30,146.90
Washington County,Ohio,63251.00,27760.00,640.15,5.00,635.15,99.60,43.70
Wayne County,Ohio,111564.00,42324.00,556.31,0.96,555.36,200.90,76.20
